Item1,Item2,Time,Book
Doll,John,302,barnaby-rudge
Doll,Joe,302,barnaby-rudge
Dolly,Gabriel,309,barnaby-rudge
Dolly,Sim,309,barnaby-rudge
Gabriel,Dolly,309,barnaby-rudge
Gabriel,Sim,309,barnaby-rudge
Sim,Dolly,309,barnaby-rudge
Sim,Gabriel,309,barnaby-rudge
Time,Barnaby,324,barnaby-rudge
Barnaby,Time,324,barnaby-rudge
Gabriel,John,382,barnaby-rudge
John,Gabriel,382,barnaby-rudge
Barnaby,Varden,403,barnaby-rudge
Varden,Barnaby,403,barnaby-rudge
Barnaby,Varden,406,barnaby-rudge
Varden,Barnaby,406,barnaby-rudge
Edward,Barnaby,412,barnaby-rudge
Barnaby,Edward,412,barnaby-rudge
Gabriel,Barnaby,420,barnaby-rudge
Barnaby,Gabriel,420,barnaby-rudge
Barnaby,Gabriel,421,barnaby-rudge
Gabriel,Barnaby,421,barnaby-rudge
Gabriel,Barnaby,421,barnaby-rudge
Barnaby,Gabriel,421,barnaby-rudge
Barnaby,Grip,436,barnaby-rudge
Grip,Barnaby,436,barnaby-rudge
Varden,Mrs Varden,453,barnaby-rudge
Varden,Mrs Varden,453,barnaby-rudge
Varden,Macbeth,453,barnaby-rudge
Mrs Varden,Varden,453,barnaby-rudge
Mrs Varden,Macbeth,453,barnaby-rudge
Mrs Varden,Varden,453,barnaby-rudge
Mrs Varden,Macbeth,453,barnaby-rudge
Macbeth,Varden,453,barnaby-rudge
Macbeth,Mrs Varden,453,barnaby-rudge
Macbeth,Mrs Varden,453,barnaby-rudge
Varden,Miggs,455,barnaby-rudge
Varden,Miggs,455,barnaby-rudge
Varden,Miggs,455,barnaby-rudge
Varden,Sim Tappertit,455,barnaby-rudge
Miggs,Varden,455,barnaby-rudge
Miggs,Sim Tappertit,455,barnaby-rudge
Miggs,Varden,455,barnaby-rudge
Miggs,Sim Tappertit,455,barnaby-rudge
Miggs,Varden,455,barnaby-rudge
Miggs,Sim Tappertit,455,barnaby-rudge
Sim Tappertit,Varden,455,barnaby-rudge
Sim Tappertit,Miggs,455,barnaby-rudge
Sim Tappertit,Miggs,455,barnaby-rudge
Sim Tappertit,Miggs,455,barnaby-rudge
Miggs,Gabriel,459,barnaby-rudge
Gabriel,Miggs,459,barnaby-rudge
Miggs,Master,460,barnaby-rudge
Master,Miggs,460,barnaby-rudge
Master,Miggs,460,barnaby-rudge
Miggs,Master,460,barnaby-rudge
Martha,Gabriel,469,barnaby-rudge
Gabriel,Martha,469,barnaby-rudge
Mrs Varden,Dolly,474,barnaby-rudge
Dolly,Mrs Varden,474,barnaby-rudge
Poor,Gabriel,476,barnaby-rudge
Gabriel,Poor,476,barnaby-rudge
Gabriel,Miggs,492,barnaby-rudge
Gabriel,Miggs,492,barnaby-rudge
Miggs,Gabriel,492,barnaby-rudge
Miggs,Gabriel,492,barnaby-rudge
Stagg,Death,526,barnaby-rudge
Stagg,Drink,526,barnaby-rudge
Death,Stagg,526,barnaby-rudge
Death,Drink,526,barnaby-rudge
Drink,Stagg,526,barnaby-rudge
Drink,Death,526,barnaby-rudge
Tappertit,Stagg,527,barnaby-rudge
Stagg,Tappertit,527,barnaby-rudge
Gilbert,Bound,541,barnaby-rudge
Gilbert,Thomas Curzon,541,barnaby-rudge
Gilbert,Golden Fleece,541,barnaby-rudge
Gilbert,Curzon,541,barnaby-rudge
Gilbert,Curzon,541,barnaby-rudge
Gilbert,Curzon,541,barnaby-rudge
Bound,Gilbert,541,barnaby-rudge
Bound,Thomas Curzon,541,barnaby-rudge
Bound,Golden Fleece,541,barnaby-rudge
Bound,Curzon,541,barnaby-rudge
Bound,Curzon,541,barnaby-rudge
Bound,Curzon,541,barnaby-rudge
Thomas Curzon,Gilbert,541,barnaby-rudge
Thomas Curzon,Bound,541,barnaby-rudge
Thomas Curzon,Golden Fleece,541,barnaby-rudge
Thomas Curzon,Curzon,541,barnaby-rudge
Thomas Curzon,Curzon,541,barnaby-rudge
Thomas Curzon,Curzon,541,barnaby-rudge
Golden Fleece,Gilbert,541,barnaby-rudge
Golden Fleece,Bound,541,barnaby-rudge
Golden Fleece,Thomas Curzon,541,barnaby-rudge
Golden Fleece,Curzon,541,barnaby-rudge
Golden Fleece,Curzon,541,barnaby-rudge
Golden Fleece,Curzon,541,barnaby-rudge
Curzon,Gilbert,541,barnaby-rudge
Curzon,Bound,541,barnaby-rudge
Curzon,Thomas Curzon,541,barnaby-rudge
Curzon,Golden Fleece,541,barnaby-rudge
Curzon,Gilbert,541,barnaby-rudge
Curzon,Bound,541,barnaby-rudge
Curzon,Thomas Curzon,541,barnaby-rudge
Curzon,Golden Fleece,541,barnaby-rudge
Curzon,Gilbert,541,barnaby-rudge
Curzon,Bound,541,barnaby-rudge
Curzon,Thomas Curzon,541,barnaby-rudge
Curzon,Golden Fleece,541,barnaby-rudge
Temple Bar,Tappertit,553,barnaby-rudge
Tappertit,Temple Bar,553,barnaby-rudge
Joseph Willet,Joe,572,barnaby-rudge
Joseph Willet,Joseph,572,barnaby-rudge
Joe,Joseph Willet,572,barnaby-rudge
Joe,Joseph,572,barnaby-rudge
Joseph,Joseph Willet,572,barnaby-rudge
Joseph,Joe,572,barnaby-rudge
Chronicler,Miggs,579,barnaby-rudge
Miggs,Chronicler,579,barnaby-rudge
Miss,Miggs,583,barnaby-rudge
Miggs,Miss,583,barnaby-rudge
Miggs,Sim,587,barnaby-rudge
Miggs,Sim,587,barnaby-rudge
Sim,Miggs,587,barnaby-rudge
Sim,Miggs,587,barnaby-rudge
Miss,Miggs,590,barnaby-rudge
Miggs,Miss,590,barnaby-rudge
Miggs,Miss Dolly,591,barnaby-rudge
Miss Dolly,Miggs,591,barnaby-rudge
Miggs,Golden Lion Court,600,barnaby-rudge
Golden Lion Court,Miggs,600,barnaby-rudge
Sim,Miggs,615,barnaby-rudge
Sim,Miggs,615,barnaby-rudge
Miggs,Sim,615,barnaby-rudge
Miggs,Sim,615,barnaby-rudge
Miggs,Tappertit,616,barnaby-rudge
Tappertit,Miggs,616,barnaby-rudge
John,John Willet,621,barnaby-rudge
John Willet,John,621,barnaby-rudge
John,Hence John,622,barnaby-rudge
Hence John,John,622,barnaby-rudge
Joe,Hugh,648,barnaby-rudge
Joe,Barnaby,648,barnaby-rudge
Hugh,Joe,648,barnaby-rudge
Hugh,Barnaby,648,barnaby-rudge
Barnaby,Joe,648,barnaby-rudge
Barnaby,Hugh,648,barnaby-rudge
John,Barnaby,650,barnaby-rudge
Barnaby,John,650,barnaby-rudge
Mrs Rudge,Barnaby,659,barnaby-rudge
Mrs Rudge,John,659,barnaby-rudge
Barnaby,Mrs Rudge,659,barnaby-rudge
Barnaby,John,659,barnaby-rudge
John,Mrs Rudge,659,barnaby-rudge
John,Barnaby,659,barnaby-rudge
