Item1,Item2,Time
Father,Hark,335
John Harmon,Twemlow,338
John Harmon,Podsnap,338
John Harmon,Jacob Kibble,338
John Harmon,Jesse Hexam,338
John Harmon,Burial,338
John Harmon,Sir,338
Twemlow,John Harmon,338
Twemlow,Podsnap,338
Twemlow,Jacob Kibble,338
Twemlow,John Harmon,338
Twemlow,Jesse Hexam,338
Twemlow,Burial,338
Twemlow,Sir,338
Podsnap,John Harmon,338
Podsnap,Twemlow,338
Podsnap,Jacob Kibble,338
Podsnap,John Harmon,338
Podsnap,Jesse Hexam,338
Podsnap,Burial,338
Podsnap,Sir,338
Jacob Kibble,John Harmon,338
Jacob Kibble,Twemlow,338
Jacob Kibble,Podsnap,338
Jacob Kibble,John Harmon,338
Jacob Kibble,Jesse Hexam,338
Jacob Kibble,Burial,338
Jacob Kibble,Sir,338
John Harmon,Twemlow,338
John Harmon,Podsnap,338
John Harmon,Jacob Kibble,338
John Harmon,Jesse Hexam,338
John Harmon,Burial,338
John Harmon,Sir,338
Jesse Hexam,John Harmon,338
Jesse Hexam,Twemlow,338
Jesse Hexam,Podsnap,338
Jesse Hexam,Jacob Kibble,338
Jesse Hexam,John Harmon,338
Jesse Hexam,Burial,338
Jesse Hexam,Sir,338
Burial,John Harmon,338
Burial,Twemlow,338
Burial,Podsnap,338
Burial,Jacob Kibble,338
Burial,John Harmon,338
Burial,Jesse Hexam,338
Burial,Sir,338
Sir,John Harmon,338
Sir,Twemlow,338
Sir,Podsnap,338
Sir,Jacob Kibble,338
Sir,John Harmon,338
Sir,Jesse Hexam,338
Sir,Burial,338
John Harmon,Pounds,339
John Harmon,Pounds,339
Pounds,John Harmon,339
Pounds,John Harmon,339
Reginald,Wilfer,345
Reginald,Anybody,345
Wilfer,Reginald,345
Wilfer,Anybody,345
Anybody,Reginald,345
Anybody,Wilfer,345
Ruddy,Round,348
Ruddy,Ripe,348
Ruddy,Rumty,348
Round,Ruddy,348
Round,Ripe,348
Round,Rumty,348
Ripe,Ruddy,348
Ripe,Round,348
Ripe,Rumty,348
Rumty,Ruddy,348
Rumty,Round,348
Rumty,Ripe,348
Stobbles,Chicksey,351
Chicksey,Stobbles,351
Chicksey,Stobbles,351
Stobbles,Chicksey,351
Wilfer,Between Battle Bridge,352
Between Battle Bridge,Wilfer,352
Between Battle Bridge,Wilfer,352
Wilfer,Between Battle Bridge,352
Wilfer,How,364
Wilfer,John,364
How,Wilfer,364
How,John,364
John,Wilfer,364
John,How,364
Mrs Wilfer,Pardon,371
Pardon,Mrs Wilfer,371
Poor Bella,Mrs Wilfer,375
Mrs Wilfer,Poor Bella,375
Pardon,Mrs Wilfer,377
Mrs Wilfer,Pardon,377
Bella,Poor Lavinia,379
Bella,Poor Lavinia,379
Poor Lavinia,Bella,379
Poor Lavinia,Bella,379
Pardon,Mrs Wilfer,398
Mrs Wilfer,Pardon,398
Old Master,Wilfer,412
Old Master,John Rokesmith Esquire,412
Wilfer,Old Master,412
Wilfer,John Rokesmith Esquire,412
John Rokesmith Esquire,Old Master,412
John Rokesmith Esquire,Wilfer,412
Rokesmith,Wilfer,418
Wilfer,Rokesmith,418
Lavvy,Between Mr Rokesmith,425
Between Mr Rokesmith,Lavvy,425
Lavvy,Bella,428
Bella,Lavvy,428
Bella,Harmon,436
Harmon,Bella,436
Caught George Sampson,Don,446
Don,Caught George Sampson,446
Bella,Julius Handford,449
Bella,John Rokesmith,449
Julius Handford,Bella,449
Julius Handford,John Rokesmith,449
John Rokesmith,Bella,449
John Rokesmith,Julius Handford,449
Ladies,Silas Wegg,456
Silas Wegg,Ladies,456
Elizabeth,Master George,457
Elizabeth,Jane,457
Elizabeth,Parker,457
Master George,Elizabeth,457
Master George,Jane,457
Master George,Parker,457
Jane,Elizabeth,457
Jane,Master George,457
Jane,Parker,457
Parker,Elizabeth,457
Parker,Master George,457
Parker,Jane,457
Silas Wegg,Magna Charta,459
Silas Wegg,Wegg,459
Silas Wegg,Sooth,459
Magna Charta,Silas Wegg,459
Magna Charta,Wegg,459
Magna Charta,Sooth,459
Wegg,Silas Wegg,459
Wegg,Magna Charta,459
Wegg,Sooth,459
Sooth,Silas Wegg,459
Sooth,Magna Charta,459
Sooth,Wegg,459
Wegg,Uncle Parker,460
Uncle Parker,Wegg,460
Noddy Boffin,Noddy,491
Noddy Boffin,Noddy,491
Noddy Boffin,Nick,491
Noddy,Noddy Boffin,491
Noddy,Nick,491
Noddy,Noddy Boffin,491
Noddy,Nick,491
Nick,Noddy Boffin,491
Nick,Noddy,491
Nick,Noddy,491
Silas,Wegg,492
Silas,Wegg,492
Wegg,Silas,492
Wegg,Silas,492
Right,Wegg,495
Wegg,Right,495
Mrs Boffin,Henerietty Boffin,521
Mrs Boffin,Henery,521
Mrs Boffin,Hetty,521
Henerietty Boffin,Mrs Boffin,521
Henerietty Boffin,Henery,521
Henerietty Boffin,Hetty,521
Henery,Mrs Boffin,521
Henery,Henerietty Boffin,521
Henery,Hetty,521
Hetty,Mrs Boffin,521
Hetty,Henerietty Boffin,521
Hetty,Henery,521
Hem,Flattered,524
Hem,Wegg,524
Flattered,Hem,524
Flattered,Wegg,524
Wegg,Hem,524
Wegg,Flattered,524
Boffin,Twopence,527
Twopence,Boffin,527
Twopence,Boffin,527
Boffin,Twopence,527
Wegg,Boffin,534
Wegg,Mrs Boffin,534
Boffin,Wegg,534
Boffin,Mrs Boffin,534
Mrs Boffin,Wegg,534
Mrs Boffin,Boffin,534
Boffin,Silas,536
Silas,Boffin,536
Boffin,Wegg,541
Wegg,Boffin,541
Boffin,Bower,552
Boffin,Maiden Lane,552
Boffin,Battle Bridge,552
Boffin,Harmony Jail,552
Boffin,Wegg,552
Boffin,Wegg,552
Bower,Boffin,552
Bower,Boffin,552
Bower,Maiden Lane,552
Bower,Battle Bridge,552
Bower,Harmony Jail,552
Bower,Wegg,552
Bower,Wegg,552
Boffin,Bower,552
Boffin,Maiden Lane,552
Boffin,Battle Bridge,552
Boffin,Harmony Jail,552
Boffin,Wegg,552
Boffin,Wegg,552
Maiden Lane,Boffin,552
Maiden Lane,Bower,552
Maiden Lane,Boffin,552
Maiden Lane,Battle Bridge,552
Maiden Lane,Harmony Jail,552
Maiden Lane,Wegg,552
Maiden Lane,Wegg,552
Battle Bridge,Boffin,552
Battle Bridge,Bower,552
Battle Bridge,Boffin,552
Battle Bridge,Maiden Lane,552
Battle Bridge,Harmony Jail,552
Battle Bridge,Wegg,552
Battle Bridge,Wegg,552
Harmony Jail,Boffin,552
Harmony Jail,Bower,552
Harmony Jail,Boffin,552
Harmony Jail,Maiden Lane,552
Harmony Jail,Battle Bridge,552
Harmony Jail,Wegg,552
Harmony Jail,Wegg,552
Wegg,Boffin,552
Wegg,Bower,552
Wegg,Boffin,552
Wegg,Maiden Lane,552
Wegg,Battle Bridge,552
Wegg,Harmony Jail,552
Wegg,Boffin,552
Wegg,Bower,552
Wegg,Boffin,552
Wegg,Maiden Lane,552
Wegg,Battle Bridge,552
Wegg,Harmony Jail,552
Boffin,Bower,554
Bower,Boffin,554
Bower,Fair Rosamond,555
Bower,Harmony Jail,555
Fair Rosamond,Bower,555
Fair Rosamond,Harmony Jail,555
Harmony Jail,Bower,555
Harmony Jail,Fair Rosamond,555
Harmon,Eddard,556
Eddard,Harmon,556
Wegg,Boffin,559
Wegg,Bower,559
Boffin,Wegg,559
Boffin,Bower,559
Bower,Wegg,559
Bower,Boffin,559
Eddard,Boffin,560
Eddard,Bower,560
Boffin,Eddard,560
Boffin,Bower,560
Bower,Eddard,560
Bower,Boffin,560
Eddard,Old Harmon,562
Old Harmon,Eddard,562
Harmon,Harmony Jail,566
Harmony Jail,Harmon,566
Eddard,Noddy Boffin,568
Noddy Boffin,Eddard,568
Noddy Boffin,Eddard,568
Eddard,Noddy Boffin,568
Edward,Wegg,569
Edward,Boffin,569
